,0
533,309
534,309
535,309
536,321
537,324
538,324
539,330
540,336
541,337
542,338
543,338
544,340
545,340
546,349
547,349
548,354
549,356
550,358
551,359
552,367
553,370
554,371
555,372
556,378
557,378
558,385
559,386
560,396
561,396
562,397
563,409
564,412
565,414
566,418
567,420
568,425
569,427
570,427
571,430
572,430
573,444
574,449
575,459
576,461
577,461
578,462
579,465
580,473
581,480
582,482
583,486
584,491
585,494
586,498
587,500
588,501
589,509
590,521
591,522
592,528
593,534
594,534
595,538
596,545
597,545
598,545
599,552
600,555
601,555
602,556
603,564
604,582
605,585
606,588
607,589
608,592
609,599
610,605
611,611
612,613
613,620
614,623
615,624
616,627
617,633
618,636
619,637
620,638
621,641
622,649
623,656
624,677
625,693
626,694
627,695
628,696
629,719
630,725
631,726
632,729
633,732
634,732
635,741
636,753
637,754
638,760
639,761
640,762
641,768
642,769
643,769
644,787
645,789
646,789
647,791
648,795
649,805
650,808
651,809
652,833
653,844
654,850
655,859
656,866
657,875
658,897
659,897
660,902
661,904
662,906
663,923
664,927
665,930
666,948
667,962
668,979
669,982
670,984
671,986
672,990
673,997
674,1002
675,1007
676,1015
677,1018
678,1019
679,1022
680,1042
681,1051
682,1054
683,1055
684,1055
685,1059
686,1064
687,1076
688,1099
689,1115
690,1116
691,1124
692,1135
693,1157
694,1164
695,1168
696,1183
697,1186
698,1190
699,1235
700,1236
701,1260
702,1267
703,1314
704,1322
705,1339
706,1347
707,1360
708,1379
709,1417
710,1462
711,1470
712,1546
713,1547
714,1554
715,1577
716,1587
717,1595
718,1615
719,1676
720,1682
721,1682
722,1689
723,1699
724,1739
725,1763
726,1766
727,1810
728,1834
729,1864
730,1875
731,1877
732,1897
733,1906
734,1916
735,2095
736,2098
737,2107
738,2137
739,2209
740,2213
741,2329
742,2417
743,2677
744,2706
745,2806
746,2948
747,2964
748,3041
749,3152
750,3167
751,3186
752,3297
753,3359
754,3407
755,3504
756,3528
